concept_id,domain,avg_topk_jaccard,top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,variants
75,fx,0.6355,0.55,-0.0849,0.2836,0.8591,0.0033,0.009,20
76,credit,0.6584,0.9,-0.0106,0.5233,0.9366,0.0031,0.0091,20
77,china,0.5289,0.65,-0.1721,0.4282,0.9251,0.0031,0.0106,20
78,us_macro,0.8434,0.5,0.2337,0.4478,0.905,0.0024,0.0088,20
79,tech,0.5591,0.75,-0.174,0.4018,0.9066,0.0037,0.0075,20
80,money_market,0.6822,0.55,0.1396,0.6774,0.9312,0.0034,0.0096,20
81,equity,0.5399,0.7,-0.1155,0.4704,0.9041,0.0037,0.0101,20
82,rates,0.8489,0.3,0.0865,0.3722,0.8926,0.0032,0.0079,20
83,commodity,0.6347,0.8,0.1756,0.3457,0.7821,0.0121,0.0875,20
84,crypto,0.6228,0.9,0.0113,0.6215,0.9459,0.0033,0.0112,20
85,fx,0.4369,0.45,-0.3383,-0.0327,0.9149,0.0032,0.0059,20
86,credit,0.6501,0.55,-0.0026,0.572,0.9137,0.0035,0.0103,20
87,china,0.389,0.7,-0.313,0.1849,0.8297,0.0305,0.0253,20
88,us_macro,0.6461,0.4,-0.0897,0.324,0.906,0.0029,0.0078,20
89,tech,0.5645,0.6,-0.1972,0.168,0.8474,0.0031,0.007,20
90,money_market,0.7108,0.5,0.1356,0.5116,0.9004,0.0031,0.008,20
91,equity,0.6358,0.45,-0.1308,0.1169,0.882,0.0036,0.0064,20
92,rates,0.7494,0.5,0.1448,0.5686,0.9138,0.0029,0.0102,20
93,commodity,0.5454,0.65,-0.0995,0.1607,0.7839,0.0305,0.0757,20
94,crypto,0.7957,0.5,0.0662,0.4263,0.9128,0.0027,0.0059,20
95,fx,0.6877,0.8,0.0773,0.6146,0.8996,0.0038,0.011,20
96,credit,0.6746,0.5,-0.0297,0.3672,0.9095,0.0031,0.0077,20
97,china,0.479,0.75,-0.2675,0.2069,0.8946,0.0032,0.0082,20
98,us_macro,0.6842,0.6,-0.0527,0.4285,0.9107,0.0032,0.0065,20
99,tech,0.4454,0.55,-0.3072,0.2767,0.8767,0.004,0.0074,20
100,money_market,0.6534,0.65,0.1367,0.7485,0.9474,0.0032,0.0117,20
